凭证号,日期,摘要,科目,金额,部门,经办人,支付方式,数据来源
PZ-00271,2026-05-15,差旅费采购,5504,616.45,销售部,员工03,公务卡,正常
PZ-00441,2026-03-04,办公费费用,5501,10000,行政部,员工25,现金,人造
PZ-00425,2026-02-20,会议费费用,5505,81000,技术部,员工12,现金,人造
PZ-00261,2026-02-28,租赁费采购,5508,48892.59,人事部,员工07,银行转账,正常
PZ-00237,2026-03-24,咨询费采购,5507,11339.35,总经办,员工02,现金,正常
PZ-00214,2026-01-08,咨询费采购,5506,10347.99,采购部,员工19,银行转账,正常
PZ-00184,2026-06-03,印刷费采购,5509,71289.52,采购部,员工21,现金,正常
PZ-00220,2026-02-23,邮电费采购,5506,7891.32,技术部,员工04,银行转账,正常
PZ-00461,2026-05-27,会议费费用,5505,600.0,采购部,员工13,现金,人造
PZ-00273,2026-03-24,办公用品采购,5507,76727.67,人事部,员工27,银行转账,正常
PZ-00158,2026-03-04,印刷费采购,5510,5845.36,技术部,员工26,现金,正常
PZ-00448,2026-03-22,印刷费费用,5503,62700.0,财务部,员工23,现金,人造
PZ-00307,2026-06-24,咨询费费用,5509,88000,总经办,员工02,银行转账,人造
PZ-00130,2026-03-25,维修费采购,5510,38328.38,总经办,员工08,公务卡,正常
PZ-00020,2026-01-03,培训费采购,5502,187.79,市场部,员工05,公务卡,正常
PZ-00107,2026-04-27,租赁费采购,5501,22882.18,销售部,员工03,现金,正常
PZ-00175,2026-05-21,咨询费采购,5506,46811.33,市场部,员工15,银行转账,正常
PZ-00304,2026-04-21,印刷费费用,5510,1000,行政部,员工29,银行转账,人造
PZ-00283,2026-06-27,咨询费采购,5504,2577.47,人事部,员工29,银行转账,正常
PZ-00260,2026-05-04,咨询费采购,5505,12.98,销售部,员工21,公务卡,正常
PZ-00380,2026-01-11,劳务费费用,5504,500.0,市场部,员工11,银行转账,人造
PZ-00272,2026-04-05,租赁费采购,5507,68086.91,销售部,员工19,银行转账,正常
PZ-00432,2026-02-16,办公费费用,5502,96800.0,采购部,员工15,银行转账,人造
PZ-00374,2026-02-02,劳务费费用,5510,627.5,技术部,员工21,现金,人造
PZ-00387,2026-05-21,会议费费用,5503,8400.0,销售部,员工03,银行转账,人造
PZ-00030,2026-02-06,会议费采购,5508,19.68,销售部,员工07,现金,正常
PZ-00333,2026-02-10,咨询费费用,5505,7000,技术部,员工18,现金,人造
PZ-00193,2026-02-09,培训费采购,5509,72.85,市场部,员工27,现金,正常
PZ-00034,2026-01-22,维修费采购,5507,806.85,行政部,员工29,公务卡,正常
PZ-00076,2026-02-20,差旅费采购,5503,5766.89,人事部,员工04,公务卡,正常
PZ-00233,2026-01-10,会议费采购,5510,314.09,采购部,员工08,银行转账,正常
PZ-00085,2026-04-16,租赁费采购,5504,22.41,销售部,员工21,公务卡,正常
PZ-00072,2026-04-11,维修费采购,5508,105.03,总经办,员工11,现金,正常
PZ-00264,2026-02-16,咨询费采购,5504,31.85,财务部,员工09,现金,正常
PZ-00255,2026-06-17,维修费采购,5504,124.24,财务部,员工04,现金,正常
PZ-00341,2026-05-13,会议费费用,5507,9697.29,技术部,员工16,现金,人造
PZ-00263,2026-02-06,会议费采购,5507,1567.78,总经办,员工03,现金,正常
PZ-00451,2026-06-12,劳务费费用,5509,6911.49,技术部,员工25,银行转账,人造
PZ-00468,2026-06-19,会议费费用,5510,9300.0,总经办,员工26,现金,人造
PZ-00143,2026-01-28,培训费采购,5502,3189.81,技术部,员工21,公务卡,正常
PZ-00472,2026-06-25,会议费费用,5506,98900.0,采购部,员工08,现金,人造
PZ-00282,2026-01-05,租赁费采购,5505,253.97,技术部,员工27,公务卡,正常
PZ-00316,2026-06-07,办公费费用,5506,71361.24,市场部,员工13,现金,人造
PZ-00087,2026-03-16,租赁费采购,5509,5663.95,总经办,员工14,公务卡,正常
PZ-00415,2026-02-17,咨询费费用,5507,89000,人事部,员工14,银行转账,人造
PZ-00058,2026-06-06,差旅费采购,5505,151.11,总经办,员工03,银行转账,正常
PZ-00480,2026-05-19,会议费费用,5503,80000,财务部,员工29,银行转账,人造
PZ-00313,2026-02-22,办公费费用,5503,99781.73,市场部,员工09,现金,人造
PZ-00210,2026-05-09,差旅费采购,5507,13673.47,行政部,员工14,公务卡,正常
PZ-00414,2026-03-12,印刷费费用,5510,900.0,人事部,员工15,银行转账,人造
PZ-00254,2026-05-09,租赁费采购,5505,22139.87,市场部,员工04,公务卡,正常
PZ-00464,2026-05-10,会议费费用,5505,87500.0,总经办,员工01,银行转账,人造
PZ-00115,2026-05-19,培训费采购,5503,4726.04,销售部,员工18,现金,正常
PZ-00484,2026-05-17,咨询费费用,5502,1000,销售部,员工22,银行转账,人造
PZ-00169,2026-05-13,会议费采购,5505,1575.75,行政部,员工13,银行转账,正常
PZ-00082,2026-02-27,差旅费采购,5505,4322.3,销售部,员工08,现金,正常
PZ-00045,2026-01-12,维修费采购,5504,1364.65,行政部,员工12,公务卡,正常
PZ-00328,2026-06-11,劳务费费用,5507,700.0,采购部,员工19,银行转账,人造
PZ-00038,2026-02-12,差旅费采购,5504,150.58,总经办,员工10,银行转账,正常
PZ-00140,2026-03-22,租赁费采购,5507,938.86,市场部,员工29,现金,正常
PZ-00305,2026-01-22,印刷费费用,5509,65000,财务部,员工06,现金,人造
PZ-00259,2026-04-26,培训费采购,5503,39.96,人事部,员工29,银行转账,正常
PZ-00181,2026-03-13,会议费采购,5506,236.39,财务部,员工26,公务卡,正常
PZ-00156,2026-04-12,会议费采购,5501,1670.01,人事部,员工20,现金,正常
PZ-00343,2026-02-23,会议费费用,5505,500.0,市场部,员工28,现金,人造
PZ-00036,2026-03-08,印刷费采购,5507,666.97,市场部,员工22,公务卡,正常
PZ-00450,2026-06-11,劳务费费用,5501,838.76,财务部,员工24,现金,人造
PZ-00230,2026-01-23,办公用品采购,5503,42974.34,销售部,员工14,现金,正常
PZ-00362,2026-03-19,办公费费用,5504,67000,技术部,员工05,银行转账,人造
PZ-00389,2026-02-02,咨询费费用,5506,9165.0,技术部,员工07,现金,人造
PZ-00500,2026-05-01,印刷费费用,5504,841.24,人事部,员工03,现金,人造
PZ-00360,2026-01-17,咨询费费用,5503,68300.0,技术部,员工26,银行转账,人造
PZ-00356,2026-03-17,劳务费费用,5505,60100.0,市场部,员工12,银行转账,人造
PZ-00481,2026-05-21,咨询费费用,5505,5516.64,行政部,员工07,现金,人造
PZ-00338,2026-04-02,印刷费费用,5503,97000,市场部,员工08,银行转账,人造
PZ-00422,2026-04-21,印刷费费用,5509,900.0,财务部,员工20,银行转账,人造
PZ-00148,2026-03-17,差旅费采购,5508,34482.75,技术部,员工20,银行转账,正常
PZ-00171,2026-04-17,差旅费采购,5507,443.56,人事部,员工24,现金,正常
PZ-00308,2026-04-25,印刷费费用,5501,800.0,人事部,员工26,现金,人造
PZ-00110,2026-04-23,培训费采购,5502,192.76,财务部,员工21,公务卡,正常
PZ-00482,2026-05-05,劳务费费用,5503,8170.57,人事部,员工06,现金,人造
PZ-00071,2026-05-19,办公用品采购,5502,59.06,采购部,员工05,现金,正常
PZ-00312,2026-04-01,印刷费费用,5507,56000.0,采购部,员工25,银行转账,人造
PZ-00081,2026-05-25,培训费采购,5508,7615.91,采购部,员工27,公务卡,正常
PZ-00174,2026-02-25,差旅费采购,5503,117.35,销售部,员工15,公务卡,正常
PZ-00327,2026-01-19,咨询费费用,5509,72800.0,市场部,员工12,现金,人造
PZ-00329,2026-03-20,劳务费费用,5502,7813.74,市场部,员工11,银行转账,人造
PZ-00367,2026-01-05,咨询费费用,5503,713.61,销售部,员工15,现金,人造
PZ-00452,2026-06-17,咨询费费用,5507,707.45,财务部,员工14,现金,人造
PZ-00455,2026-05-13,咨询费费用,5506,95100.0,技术部,员工29,银行转账,人造
PZ-00280,2026-01-08,维修费采购,5502,66149.23,行政部,员工20,银行转账,正常
PZ-00289,2026-02-02,印刷费采购,5507,15.35,财务部,员工28,银行转账,正常
PZ-00149,2026-01-02,培训费采购,5507,1458.04,采购部,员工22,银行转账,正常
PZ-00219,2026-06-28,咨询费采购,5506,49972.61,行政部,员工18,公务卡,正常
PZ-00026,2026-06-14,咨询费采购,5507,609.43,采购部,员工15,公务卡,正常
PZ-00125,2026-05-05,维修费采购,5508,149.76,人事部,员工15,现金,正常
PZ-00334,2026-05-04,劳务费费用,5502,6772.55,人事部,员工25,现金,人造
PZ-00412,2026-02-11,会议费费用,5509,77100.0,销售部,员工30,现金,人造
PZ-00301,2026-03-01,劳务费费用,5507,900.0,市场部,员工04,银行转账,人造
PZ-00469,2026-06-21,办公费费用,5505,1000,总经办,员工05,现金,人造
PZ-00457,2026-06-11,办公费费用,5502,76211.32,采购部,员工09,现金,人造
