填表说明：根据指南编码规则编号,nan,nan,以项目批复中对应内容为准,nan,nan,以项目批复中项目实施地点为准，例：XX乡（镇）XX 村（居）,以项目竣工决算中项目主要建设内容为准,"与表2数据一致
（保留小数点后面2位）",nan,nan,"与表2数据一致
（保留小数点后面2位）",nan,nan,在“经营类、公益类、到户类“中选择,在“青稞、小麦、饲料、牦牛、乳、羊、猪、鸡、蜂、鱼虾、藏药、,在“巩固、升级、盘活、调整”中选择,在“巩固、升级、盘活、调整”中选择，仅经营类项目填写,根据实际情况填写“是/否”,在“自主运营、合作运营、委托运营“中选择,在“农村集体经济组织、农牧民专业合作社、农户、国企、私企、个,nan,根据实际情况填写“是/否”,例：2022.09,例：该项目带动建档立卡群众不低于23户79人增收，分红金额不,nan,nan,以项目实施内容对应行业单位为准,nan,在“是/否”中选择,财评、合同、立项等,在“是/否”中选择,nan,在“是/否”中选择
540425201320001,林芝市,察隅县,2013,察瓦龙乡昌西村石榴品种改良项目,察瓦龙乡人民政府,察瓦龙乡昌西村,改良112亩5600株石榴,24,24,0,24,24,0,经营类,石榴,调整,调整,否,,,,,,,,,,,否,项目资料,否,是,是
540425201517002,林芝市,察隅县,2015,罗马桃花村旅游资源升级改造项目,古玉乡人民政府\察隅县受援办,古玉乡罗马村,发展特色藏民族文化旅游产业，充分发挥旅游、生态自然资源的优势，带动整合闲置劳动力，逐步改变传统农牧业生产方式，进而转变成以旅游业为主的核心产业，建立村民增收的长效机制，促进产业发展，建设幸福新村。内容：1.藏家歌舞表演广场；2.驿站引水工程；3.村内道路硬化工程；4.观景平台；5.绿化种植；6.公共卫生设施等,500,500,0,500,500,0,公益类,乡村旅游,升级,,,,,,,,,,,,,否,数据统计来源于察隅县2015年援藏投资项目计划表（被审计单位文件夹，附件2：援藏项目）+项目资料,否,是,
540425201517003,林芝市,察隅县,2015,察隅县古玉乡罗马村农家乐（实施过，找不到业主）,罗马村村委会,古玉乡罗马村,修建农家乐及庭院一座,200,200,0,200,200,0,经营类,乡村旅游,升级,调整,否,委托运营,个体工商户,张鹏,否,,,,,察隅县文化和旅游局,,否,,否,是,
540425201619002,林芝市,察隅县,2016,古拉乡核桃粮油加工坊,察隅县扶贫开发办公室,古拉乡,购买榨油机及附属配套设施,150,150,0,60,60,0,经营类,设施农业,升级,调整,否,,,,,,,,,,,否,,否,是,
540425201604002,林芝市,察隅县,2016,察隅县牦牛养殖项目,扶贫办,察隅县,为131户购买牛，修建牛圈11座。（古拉乡为8户购置57头牦牛；下察隅镇19户102头修建牛圈11座；竹瓦根镇52户260头；察瓦龙乡52户养殖犏牛410头，奶牛3头，小牛136头，黄牛40头，母牛1头，牛圈1座）,577,577,0,577,577,0,到户类,牦牛,盘活,,,,,,,,,,,,,否,,否,是,
540425201606001,林芝市,察隅县,2016,察隅县养羊项目,扶贫办,察隅县,为10户购置山羊550只，绵羊40只（古拉乡3户养殖山羊150只，上察隅镇2户养殖绵羊40只，察瓦龙乡5户养殖山羊400只）,30,30,0,30,30,0,到户类,羊,盘活,,,,,,,,,,,,,否,,否,是,
540425201619003,林芝市,察隅县,2016,察隅县特色种植项目,扶贫办,"古拉乡
关龙村
竹瓦根镇
下察隅",为9户实施特色种植项目。古拉乡6户（则巴村1户种植葡萄苗30棵，关龙村4户种植花椒苗子80棵，安巴村1户苹果苗50棵）；竹瓦根镇1户（种植天麻）；下察隅镇1户种植橘子树4亩，1户种植天麻2亩。,27,27,0,27,27,0,到户类,其他,调整,,,,,,,,,,,,,否,,是,是,
540425201619005,林芝市,察隅县,2016,古拉乡则巴村菩提树种植及加工项目,察隅县扶贫开发办公室,古拉乡则巴村,种植500颗菩提树 、修建4个树苗培育室3、种植区域土地平整,85,85,0,85,85,0,经营类,其他,调整,调整,否,,,,,,,,,,已搬迁,否,,否,是,是
540425201619006,林芝市,察隅县,2016,下察隅镇辣椒种植项目,察隅县扶贫开发办公室,下察隅镇,种植辣椒100亩及附属配套设施,60,60,0,60,60,0,经营类,其他,调整,调整,否,,,,,,,,,,,否,,否,是,
540425201619007,林芝市,察隅县,2016,上察隅镇木碗加工项目,扶贫办,上察隅镇,为上察隅镇木碗加工合作社配置加工设施,20,20,0,20,20,0,公益类,其他,调整,,,,,,,,,,,,,否,,否,是,
