--- TABLE 0 raw (15x5) ---
R0: 支出类别 || 款项类型 || 送审投资额 || 审定投资额 || 审增(减)率
R1: 建筑安装工程投资 || 工程费用 || 79,540,159.04 || 79,540,159.04 || /
R2: 建筑安装工程投资 || 小 计 || 79,540,159.04 || 79,540,159.04 || /
R3: 待摊费用 || 设计费 || 1,950,000.00 || 1,950,000.00 || /
R4: 待摊费用 || 招标控制价和工程量清单编制费 || 180,000.00 || 180,000.00 || /
R5: 待摊费用 || 监理费 || 1,523,800.00 || 1,523,800.00 || /
R6: 待摊费用 || 可行性研究编制费 || 283,800.00 || 283,800.00 || /
R7: 待摊费用 || 招标代理费 || 248,928.00 || 248,928.00 || /
R8: 待摊费用 || 勘察费 || 67,960.70 || 67,960.70 || /
R9: 待摊费用 || 施工图审查费 || 194,400.00 || 194,400.00 || 
R10: 待摊费用 || 全过程造价咨询费 || 566,000.00 || 566,000.00 || 
R11: 待摊费用 || 印花税及滞纳金 || 14,737.52 || 14,737.52 || 
R12: 待摊费用 || 技术咨询服务费 || 137,900.00 || 137,900.00 || 
R13: 待摊费用 || 小计 || 5,167,526.22 || 5,167,526.22 || /
R14: 总计 || 总计 || 84,707,685.26 || 84,707,685.26 || /
--- TABLE 1 raw (13x5) ---
R0: 序号 || 单位名称 || 付款内容 || 已付金额 || 未付金额
R1: 1 || 四川省建筑机械化工程有限公司 || 施工工程费 || 73,159,808.76 || 6,380,350.28
R2: 2 || 四川省建筑设计研究院有限公司 || 设计费 || 1,604,000.00 || 346,000.00
R3: 3 || 四川省建筑设计研究院有限公司 || 招标控制价和工程量清单编制费 || 100,000.00 || 80,000.00
R4: 4 || 四川明清工程咨询有限公司 || 监理费 || 1,219,040.00 || 304,760.00
R5: 5 || 成都中来润邦工程管理有限公司 || 可行性研究编制费 || 283,800.00 || 0.00
R6: 6 || 合江达源建设工程有限公司 || 招标代理费 || 248,928.00 || 0.00
R7: 7 || 四川名阳岩土工程有限公司 || 勘察费 || 67,960.70 || 0.00
R8: 8 || 四川矩阵工程技术咨询有限公司 || 施工图审查费 || 194,400.00 || 0.00
R9: 9 || 中正天达建设集团有限公司 || 全过程造价咨询费 || 396,200.00 || 169,800.00
R10: 10 || 国家税务总局马尔康市税务局第一税务分局 || 印花税及滞纳金 || 14,737.52 || 0.00
R11: 11 || 阿坝州建筑设计有限责任公司 || 技术咨询服务费 || 0.00 || 137,900.00
R12: 合计 || 合计 || 合计 || 77,288,874.98 || 7,418,810.28
