[合规] 置信度94% | 信息中心代维费
[合规] 置信度93% | 信息资产维修费
[合规] 置信度95% | 信息中心数据备份
[不合规] 置信度96% | 机关办公用品采购
[合规] 置信度72% | 购置电脑费
[不合规] 置信度88% | 档案密集架
[不合规] 置信度88% | 工会活动费
[不合规] 置信度93% | 新办公楼考勤机
[合规] 置信度95% | 信息中心维保费
[不合规] 置信度94% | 社保科差旅费
[不合规] 置信度90% | 补缴养老保险
[合规] 置信度83% | 系统维护费
[合规] 置信度97% | 信息中心保密系统
[合规] 置信度89% | 网络带宽租赁费
[不合规] 置信度90% | 财政科报刊费
[合规] 置信度93% | 政务云资源租用费
[合规] 置信度92% | 网络安全服务费
[不合规] 置信度90% | 农村科培训费
[合规] 置信度95% | 数据库运维服务费
[合规] 置信度96% | 信息系统等级保护建设
[合规] 置信度72% | 信息化终端设备采购
[不合规] 置信度92% | 打印机耗材采购
[不合规] 置信度89% | 会议室装修费
[合规] 置信度61% | OA模块二次开发
[不合规] 置信度92% | 办公家具采购
[合规] 置信度88% | 信息安全咨询服务
