=== Sheet: 费用清单 (dims: A1:J76) ===
制造业数字化转型促进中心“深度行”四川站活动
暨“智改数转”供需对接会活动
结算清单 |  |  |  |  |  |  |  |  | 
时间：2026年5月7日                                                    地点：四川数智化绿色化发展促进中心四楼 |  |  |  |  |  |  |  |  | 
类别 | 项目 | 规格 | 材质工艺 | 单位 | 数量 | 验收报告 | 单价（元） | 小计（元） | 开票及支付情况
现场布置部分 | 主K及延展设计、方案等 |  |  | 项 | 1 | 1 | 3600 | 3600 | 未开票，未支付
 | 路边指示展板（四面包装） | 2m*2m*1.5m | 2套 | 平方 | 28 | 35 | 82 | 2296 | 未开票，未支付
 | 一楼主展板（四面包装） | 4*3m*1m | 2套 | 平方 | 60 | 66 | 82 | 4920 | 未开票，未支付
 | 立屏指示系统 | 1.8m*0.8m |  | 套 | 14 | 14 | 220 | 3080 | 未开票，未支付
 | 道旗 | 5m |  | 套 | 10 | 10 | 240 | 2400 | 未开票，未支付
 | 演讲台包装 |  |  | 套 | 1 | 1 | 180 | 180 | 未开票，未支付
 | 舞台台口包装 | 7m*1.1m |  | 套 | 1 | 1 | 1200 | 1200 | 未开票，未支付
 | 工作证 | 12cm*8cm | PVC卡+带子 | 套 | 30 | 40 | 12 | 360 | 未开票，未支付
 | 参会证 | 12cm*8cm | PVC卡+带子 | 套 | 230 | 260 | 12 | 2760 | 未开票，未支付
 | 活动议程 | A4正反面 | 250g铜版纸 | 份 | 200 | 260 | 4 | 800 | 未开票，未支付
 | 首批制造业数字化转型促进中心重点产品、解决方案推介手册 | A4，24P | 彩色快印，24P，封面覆膜，胶包 | 本 | 200 |  | 24 | 4800 | 未开票，未支付
 | 四川省制造业智改数转“小快轻准”产品清单 |  | 黑白快印，28P，封面铜版纸，胶包 | 本 | 200 |  | 15.6 | 3120 | 未开票，未支付
 | 签到处桌牌（大） |  | 250g白卡纸、压痕、贴胶 | 套 | 3 | 3 | 10 | 30 | 未开票，未支付
 | 嘉宾桌牌（小） |  | 250g白卡纸、压痕、贴胶 | 套 | 93 | 260 | 5 | 465 | 未开票，未支付
 | 用餐桌牌 |  |  | 套 | 46 |  | 3 | 138 | 未开票，未支付
 | 椅背贴 |  | 不干胶贴 | 张 | 138 |  | 2.5 | 345 | 未开票，未支付
 | 用餐券 |  | 250g铜版纸彩色快印 | 份 | 270 | 260 | 1 | 270 | 未开票，未支付
 | 温馨提示卡 | A4 | 250g铜版纸彩色快印 | 份 | 8 | 20 | 5 | 100 | 未开票，未支付
 | 站位提示图 | A4 | 250g铜版纸彩色快印 | 份 | 8 |  | 5 | 100 | 未开票，未支付
 | 便签纸定制 | A4 |  | 张 | 250 | 260 | 2 | 500 | 未开票，未支付
 | 签字笔定制 |  |  | 支 | 200 | 260 | 1.5 | 300 | 未开票，未支付
