id,dept_code,dept_name,year,budget_revenue,actual_revenue,budget_expense,actual_expense,surplus
1,001,教育局,2023,2881.21,2685.98,2828.5,2492.85,87.53
2,001,教育局,2024,2171.25,2079.74,2880.39,2654.07,-81.98
3,002,卫健委,2023,3868.74,3935.35,3837.34,3494.56,-44.07
4,002,卫健委,2024,7464.2,7779.97,3944.3,3510.79,-45.34
5,003,交通局,2023,5444.47,5003.0,2988.33,2789.05,-8.0
6,003,交通局,2024,7218.85,7387.39,6468.93,5750.27,-200.55
7,004,住建局,2023,2469.25,2339.92,6383.06,5819.39,110.89
8,004,住建局,2024,6909.35,6657.25,7911.61,7637.43,-22.07
9,005,农业农村局,2023,3116.74,3042.93,5776.78,5812.13,-30.11
10,005,农业农村局,2024,2243.9,2132.26,5782.18,5656.6,-47.6
11,006,人社局,2023,5746.35,5494.4,2315.76,2203.0,-201.49
12,006,人社局,2024,5707.48,5901.47,6117.57,5755.78,-239.46
13,007,民政局,2023,7237.17,7101.47,2528.17,2278.07,-176.79
14,007,民政局,2024,548.68,542.19,7882.78,7673.79,-20.99
15,008,科技局,2023,3078.46,2995.59,3985.71,4038.88,-120.8
16,008,科技局,2024,2701.77,2544.6,3063.03,2864.69,-127.74
