id,dept_code,dept_name,budget_year,initial_amount,adjusted_amount,final_amount,func_class,eco_class,fund_source
1,008,科技局,2025,3899.41,5124.27,2918.19,214-交通运输,309-资本性支出,政府性基金
2,004,住建局,2025,936.63,1387.74,760.93,206-科学技术,301-工资,专项转移支付
3,001,教育局,2025,4508.7,3386.14,3660.06,205-教育,302-商品服务,一般公共预算
4,008,科技局,2025,3844.14,3927.61,3993.12,214-交通运输,302-商品服务,政府性基金
5,006,人社局,2025,3659.81,3873.57,3599.36,214-交通运输,309-资本性支出,政府性基金
6,008,科技局,2025,3833.47,3119.16,540.08,214-交通运输,309-资本性支出,专项转移支付
7,004,住建局,2025,1620.66,366.97,2087.67,213-农林水,309-资本性支出,一般公共预算
8,004,住建局,2025,3290.74,4974.68,2537.44,210-卫生健康,302-商品服务,一般公共预算
9,007,民政局,2025,3199.21,3451.4,3794.43,208-民政,302-商品服务,政府性基金
10,005,农业农村局,2025,4733.36,1074.66,491.28,206-科学技术,302-商品服务,一般公共预算
11,005,农业农村局,2025,807.2,4804.12,666.34,206-科学技术,301-工资,专项转移支付
12,005,农业农村局,2025,4969.25,1855.8,1735.66,210-卫生健康,302-商品服务,专项转移支付
13,006,人社局,2025,469.07,1498.35,380.71,214-交通运输,309-资本性支出,一般公共预算
14,005,农业农村局,2025,480.2,1052.81,2546.93,206-科学技术,309-资本性支出,专项转移支付
15,007,民政局,2025,1032.2,3643.55,3982.59,213-农林水,301-工资,专项转移支付
16,001,教育局,2025,3758.63,2314.07,3543.56,214-交通运输,302-商品服务,专项转移支付
17,002,卫健委,2025,2948.36,4228.23,4688.01,214-交通运输,302-商品服务,一般公共预算
18,002,卫健委,2025,1482.93,328.78,1957.46,208-社会保障,301-工资,政府性基金
19,005,农业农村局,2025,1420.68,302.05,1013.19,214-交通运输,301-工资,一般公共预算
20,008,科技局,2025,2132.11,4575.25,4245.63,210-卫生健康,301-工资,一般公共预算
21,001,教育局,2025,4071.94,3393.28,3956.47,210-卫生健康,309-资本性支出,政府性基金
22,007,民政局,2025,2128.98,1383.16,1147.26,208-民政,302-商品服务,一般公共预算
23,001,教育局,2025,4526.96,3072.75,2812.71,210-卫生健康,309-资本性支出,一般公共预算
24,007,民政局,2025,4846.19,3214.06,3730.29,208-社会保障,309-资本性支出,政府性基金
25,002,卫健委,2025,1287.47,3670.57,97.35,208-社会保障,309-资本性支出,一般公共预算
26,001,教育局,2025,3050.26,4851.68,3247.34,208-民政,309-资本性支出,政府性基金
27,002,卫健委,2025,3279.96,3642.04,3159.43,208-社会保障,309-资本性支出,一般公共预算
28,002,卫健委,2025,1199.92,2230.8,3178.37,208-民政,309-资本性支出,一般公共预算
29,004,住建局,2025,4010.55,131.06,511.16,210-卫生健康,302-商品服务,一般公共预算
30,004,住建局,2025,3570.19,865.78,2718.19,205-教育,301-工资,专项转移支付
31,005,农业农村局,2025,1125.89,4483.81,5044.91,206-科学技术,302-商品服务,一般公共预算
32,005,农业农村局,2025,3273.23,4421.03,1873.11,205-教育,309-资本性支出,专项转移支付
33,002,卫健委,2025,3218.03,1995.37,1686.8,212-城乡社区,309-资本性支出,专项转移支付
34,008,科技局,2025,461.72,2916.41,640.26,210-卫生健康,301-工资,专项转移支付
35,004,住建局,2025,282.42,3386.21,3515.13,212-城乡社区,302-商品服务,政府性基金
36,001,教育局,2025,946.86,666.92,1238.1,212-城乡社区,301-工资,一般公共预算
37,004,住建局,2025,3201.02,1228.31,4702.95,206-科学技术,302-商品服务,政府性基金
38,002,卫健委,2025,948.28,1871.83,3073.46,214-交通运输,302-商品服务,专项转移支付
39,001,教育局,2025,510.61,4216.32,3725.96,213-农林水,309-资本性支出,专项转移支付
40,006,人社局,2025,1570.87,1290.6,754.25,205-教育,309-资本性支出,政府性基金
41,002,卫健委,2025,1522.2,4264.13,825.24,214-交通运输,309-资本性支出,一般公共预算
42,005,农业农村局,2025,2188.28,4365.81,2308.47,206-科学技术,309-资本性支出,专项转移支付
43,007,民政局,2025,3079.06,4263.44,1809.4,208-社会保障,301-工资,政府性基金
44,004,住建局,2025,419.1,4318.23,1116.37,206-科学技术,302-商品服务,政府性基金
45,002,卫健委,2025,1025.22,4237.94,2058.18,205-教育,309-资本性支出,专项转移支付
46,008,科技局,2025,973.88,3645.58,1223.15,213-农林水,302-商品服务,一般公共预算
47,003,交通局,2025,1322.29,2770.87,361.77,206-科学技术,309-资本性支出,一般公共预算
48,007,民政局,2025,2586.56,4879.58,849.25,208-民政,302-商品服务,政府性基金
49,006,人社局,2025,4395.1,5110.7,2714.87,213-农林水,309-资本性支出,政府性基金
50,003,交通局,2025,2803.39,1074.91,1119.82,210-卫生健康,301-工资,专项转移支付
51,007,民政局,2025,2590.38,4852.85,3915.64,210-卫生健康,301-工资,专项转移支付
52,001,教育局,2025,2818.12,3404.25,1102.88,206-科学技术,309-资本性支出,专项转移支付
53,001,教育局,2025,4242.32,850.12,3843.3,213-农林水,302-商品服务,专项转移支付
54,007,民政局,2025,3296.34,4929.12,4285.51,210-卫生健康,301-工资,专项转移支付
55,005,农业农村局,2025,3224.0,4876.79,3130.64,212-城乡社区,309-资本性支出,一般公共预算
56,003,交通局,2025,4939.98,4837.11,4678.88,206-科学技术,301-工资,政府性基金
57,004,住建局,2025,2221.64,1085.32,3484.59,208-民政,301-工资,政府性基金
58,001,教育局,2025,2593.32,4382.2,4155.55,205-教育,309-资本性支出,政府性基金
59,007,民政局,2025,3601.71,3611.62,1813.01,205-教育,302-商品服务,一般公共预算
60,001,教育局,2025,4650.69,1893.5,527.21,213-农林水,301-工资,专项转移支付
61,003,交通局,2025,4639.6,1783.29,4530.72,208-民政,301-工资,政府性基金
62,003,交通局,2025,3659.02,1879.93,3639.11,208-民政,309-资本性支出,政府性基金
63,005,农业农村局,2025,2179.36,1947.96,3859.97,208-民政,302-商品服务,专项转移支付
64,005,农业农村局,2025,2443.58,3670.71,3319.18,208-社会保障,302-商品服务,专项转移支付
65,005,农业农村局,2025,1100.12,1713.58,1424.25,214-交通运输,302-商品服务,专项转移支付
66,006,人社局,2025,3726.55,4629.84,1768.65,214-交通运输,302-商品服务,专项转移支付
67,008,科技局,2025,2024.92,1077.87,3296.07,206-科学技术,302-商品服务,一般公共预算
68,003,交通局,2025,3926.59,4285.06,3661.72,214-交通运输,309-资本性支出,一般公共预算
69,002,卫健委,2025,451.83,1589.76,5072.06,206-科学技术,309-资本性支出,一般公共预算
70,002,卫健委,2025,2539.43,3838.7,259.73,205-教育,301-工资,一般公共预算
71,003,交通局,2025,159.73,1857.01,2460.68,210-卫生健康,309-资本性支出,政府性基金
72,003,交通局,2025,1606.6,220.84,1143.21,214-交通运输,301-工资,专项转移支付
73,003,交通局,2025,894.62,1051.34,4848.98,205-教育,301-工资,一般公共预算
74,002,卫健委,2025,3206.03,1740.21,1638.81,210-卫生健康,302-商品服务,专项转移支付
75,001,教育局,2025,1889.36,2279.4,3159.48,208-社会保障,301-工资,专项转移支付
76,001,教育局,2025,4554.36,2420.11,2574.6,213-农林水,301-工资,专项转移支付
77,004,住建局,2025,2535.61,2725.5,4951.51,205-教育,301-工资,政府性基金
78,004,住建局,2025,2864.08,5009.26,242.41,206-科学技术,301-工资,政府性基金
79,005,农业农村局,2025,2736.99,4792.1,2231.87,208-民政,309-资本性支出,政府性基金
80,002,卫健委,2025,1228.48,4394.89,4700.46,206-科学技术,302-商品服务,一般公共预算
81,008,科技局,2025,2291.72,1808.97,5057.01,205-教育,301-工资,一般公共预算
82,007,民政局,2025,1371.53,3724.71,961.46,212-城乡社区,302-商品服务,专项转移支付
83,006,人社局,2025,2140.48,1061.13,4440.26,210-卫生健康,301-工资,政府性基金
84,007,民政局,2025,3969.76,464.99,1971.75,205-教育,301-工资,政府性基金
85,002,卫健委,2025,222.51,4087.65,3883.27,212-城乡社区,301-工资,政府性基金
86,005,农业农村局,2025,1939.43,2381.96,1684.39,208-社会保障,302-商品服务,政府性基金
87,005,农业农村局,2025,3459.47,5196.21,327.99,206-科学技术,301-工资,政府性基金
88,002,卫健委,2025,696.97,1036.35,4887.72,212-城乡社区,309-资本性支出,一般公共预算
89,008,科技局,2025,1414.41,1619.6,1019.78,208-民政,309-资本性支出,专项转移支付
90,001,教育局,2025,3957.79,4565.64,3114.9,212-城乡社区,309-资本性支出,一般公共预算
91,002,卫健委,2025,3213.63,4058.64,4471.67,208-社会保障,302-商品服务,专项转移支付
92,007,民政局,2025,699.52,1332.34,4570.77,210-卫生健康,302-商品服务,专项转移支付
93,005,农业农村局,2025,2661.54,2598.09,3966.9,212-城乡社区,309-资本性支出,专项转移支付
94,001,教育局,2025,719.77,4284.48,2183.4,212-城乡社区,302-商品服务,政府性基金
95,004,住建局,2025,967.75,708.37,3651.79,205-教育,301-工资,一般公共预算
96,008,科技局,2025,2313.45,3149.11,3104.06,213-农林水,309-资本性支出,一般公共预算
97,008,科技局,2025,1128.98,4560.97,1716.88,206-科学技术,309-资本性支出,一般公共预算
98,004,住建局,2025,4981.42,1768.01,4729.12,213-农林水,302-商品服务,一般公共预算
99,007,民政局,2025,2948.81,198.94,194.25,213-农林水,309-资本性支出,政府性基金
